"Quantum computer","QPU time (minutes)","Job workloads","Session workloads","Batch workloads","Avg job workload time (minutes)","Avg session workload time (minutes)","Avg batch workload time (minutes)","Queue time (minutes)","Avg queue time (minutes)"
"ibm_fez","0.3333333333333333","8","0","0","0.041666666666666664","0","0","0.13868823333333333","0.017336029166666666"
"ibm_torino","0.08333333333333333","4","0","0","0.020833333333333332","0","0","0.6653675","0.166341875"
